datetime,ht
1/1/2022,6.04
1/2/2022,6.08
1/3/2022,5.98
1/4/2022,5.98
1/5/2022,6.02
1/6/2022,6
1/7/2022,5.98
1/8/2022,5.97
1/9/2022,6.02
1/10/2022,5.99
1/11/2022,5.97
1/12/2022,5.99
1/13/2022,5.99
1/14/2022,5.98
1/15/2022,5.94
1/16/2022,6
1/17/2022,6.08
1/18/2022,6.06
1/19/2022,6.04
1/20/2022,6.02
1/21/2022,6.02
1/22/2022,6
1/23/2022,6.09
1/24/2022,6.05
1/25/2022,6.02
1/26/2022,6.03
1/27/2022,6.05
1/28/2022,6.02
1/29/2022,6.03
1/30/2022,6.04
1/31/2022,6.05
2/1/2022,6.08
2/2/2022,6.06
2/3/2022,6.12
2/4/2022,6.1
2/5/2022,6.1
2/6/2022,6.02
2/7/2022,6.03
2/8/2022,6.03
2/9/2022,6.02
2/10/2022,6.04
2/11/2022,6.04
2/12/2022,6.02
2/13/2022,6.03
2/14/2022,6.03
2/15/2022,6.06
2/16/2022,6.07
2/17/2022,6.04
2/18/2022,6.07
2/19/2022,6.1
2/20/2022,6.07
2/21/2022,6.07
2/22/2022,6.09
2/23/2022,6.1
2/24/2022,6.1
2/25/2022,6.08
2/26/2022,6.07
2/27/2022,6.06
2/28/2022,6.05
3/1/2022,6.07
3/2/2022,6.08
3/3/2022,6.07
3/4/2022,6.07
3/5/2022,6.07
3/6/2022,6.05
3/7/2022,6.05
3/8/2022,6.09
3/9/2022,6.06
3/10/2022,6.07
3/11/2022,6.05
3/12/2022,6.06
3/13/2022,6.06
3/14/2022,6.06
3/15/2022,6.04
3/16/2022,6.05
3/17/2022,6.06
3/18/2022,6.02
3/19/2022,6.05
3/20/2022,6.09
3/21/2022,6.06
3/22/2022,6.74
3/23/2022,6.07
3/24/2022,6.05
3/25/2022,5.97
3/26/2022,5.92
3/27/2022,5.92
3/28/2022,5.91
3/29/2022,5.9
3/30/2022,5.87
3/31/2022,5.89
4/1/2022,5.93
4/2/2022,5.91
4/3/2022,5.91
4/4/2022,5.91
4/5/2022,5.89
4/6/2022,5.88
4/7/2022,5.86
4/8/2022,5.89
4/9/2022,5.89
4/10/2022,5.85
4/11/2022,5.87
4/12/2022,5.87
4/13/2022,5.86
4/14/2022,5.85
4/15/2022,5.88
4/16/2022,5.87
4/17/2022,5.85
4/18/2022,5.88
4/19/2022,5.86
4/20/2022,5.87
4/21/2022,5.86
4/22/2022,5.82
4/23/2022,5.84
4/24/2022,5.85
4/25/2022,5.94
4/26/2022,5.89
4/27/2022,5.81
4/28/2022,5.82
4/29/2022,5.78
4/30/2022,5.74
5/1/2022,5.74
5/2/2022,5.74
5/3/2022,5.7
5/4/2022,5.72
5/5/2022,5.72
5/6/2022,5.72
5/7/2022,5.7
5/8/2022,5.68
5/9/2022,5.69
5/10/2022,5.66
5/11/2022,5.72
5/13/2022,5.67
5/14/2022,5.67
5/15/2022,5.68
5/16/2022,5.66
5/17/2022,5.69
5/18/2022,5.67
5/19/2022,5.67
5/20/2022,5.67
5/21/2022,5.68
5/22/2022,5.67
5/23/2022,5.68
5/24/2022,5.82
5/25/2022,6.31
5/26/2022,5.71
5/27/2022,5.72
5/28/2022,5.69
5/29/2022,5.63
5/30/2022,5.64
5/31/2022,5.66
6/1/2022,5.65
6/2/2022,5.7
6/3/2022,5.93
6/4/2022,5.84
6/5/2022,5.83
6/8/2022,5.79
6/9/2022,5.79
6/10/2022,5.82
6/11/2022,5.85
6/12/2022,5.8
6/13/2022,5.81
6/14/2022,5.8
6/15/2022,5.81
6/16/2022,5.8
6/17/2022,5.78
6/18/2022,5.78
6/19/2022,5.79
6/20/2022,5.78
6/21/2022,5.79
6/22/2022,5.79
6/23/2022,5.79
6/24/2022,5.81
6/25/2022,5.77
6/26/2022,5.78
6/27/2022,5.8
6/28/2022,5.81
6/29/2022,5.87
6/30/2022,5.81
7/1/2022,5.8
7/2/2022,5.8
7/3/2022,5.8
7/4/2022,5.79
7/5/2022,5.92
7/6/2022,5.83
7/7/2022,6.1
7/8/2022,5.8
7/9/2022,5.79
7/10/2022,5.82
7/11/2022,5.72
7/12/2022,5.73
7/13/2022,5.78
7/14/2022,5.74
7/15/2022,5.76
7/16/2022,5.71
7/17/2022,5.71
7/18/2022,5.74
7/19/2022,5.75
7/20/2022,5.8
7/21/2022,5.84
7/22/2022,6.36
7/23/2022,5.92
7/24/2022,5.85
7/25/2022,5.81
7/26/2022,5.65
7/27/2022,5.64
7/28/2022,5.64
7/29/2022,6.36
7/30/2022,6.06
7/31/2022,6.09
8/1/2022,5.69
8/2/2022,5.64
8/3/2022,5.61
8/4/2022,5.61
8/5/2022,7.34
8/6/2022,5.83
8/7/2022,5.8
8/8/2022,5.8
8/9/2022,5.83
8/10/2022,5.73
8/11/2022,5.66
8/12/2022,5.7
8/13/2022,5.68
8/14/2022,5.67
8/15/2022,5.67
8/16/2022,5.66
8/17/2022,5.66
8/18/2022,5.66
8/19/2022,5.69
8/20/2022,5.85
8/21/2022,5.72
8/22/2022,5.93
8/23/2022,5.81
8/24/2022,5.66
8/25/2022,5.67
8/26/2022,5.65
8/27/2022,5.65
8/28/2022,5.64
8/29/2022,5.63
8/30/2022,7.29
8/31/2022,5.85
9/1/2022,5.81
9/2/2022,5.64
9/3/2022,5.62
9/4/2022,5.6
9/5/2022,5.58
9/6/2022,5.57
9/7/2022,5.56
9/8/2022,5.54
9/9/2022,5.54
9/10/2022,5.53
9/11/2022,5.51
9/12/2022,5.52
9/13/2022,5.52
9/14/2022,5.51
9/15/2022,5.47
9/16/2022,5.49
9/17/2022,5.42
9/18/2022,5.42
9/19/2022,5.46
9/20/2022,5.46
9/21/2022,5.46
9/22/2022,5.45
9/23/2022,5.45
9/24/2022,5.44
9/25/2022,5.44
9/26/2022,5.44
9/27/2022,5.44
9/28/2022,5.44
9/29/2022,5.43
9/30/2022,5.42
10/1/2022,5.43
10/2/2022,5.43
10/3/2022,5.42
10/4/2022,5.42
10/5/2022,5.41
10/6/2022,5.44
10/7/2022,5.44
10/8/2022,5.45
10/9/2022,5.48
10/10/2022,5.46
10/11/2022,5.46
10/12/2022,5.4
10/13/2022,5.42
10/14/2022,5.42
10/15/2022,5.42
10/16/2022,5.42
10/17/2022,5.48
10/18/2022,5.45
10/19/2022,5.45
10/20/2022,5.45
10/21/2022,5.46
10/22/2022,5.46
10/23/2022,5.44
10/24/2022,5.44
10/25/2022,6.3
10/26/2022,5.68
10/27/2022,5.51
10/28/2022,5.53
10/29/2022,5.45
10/30/2022,5.43
10/31/2022,5.42
11/1/2022,5.41
11/2/2022,5.38
11/3/2022,5.4
11/4/2022,5.4
11/5/2022,5.42
11/6/2022,5.4
11/7/2022,5.39
11/8/2022,5.4
11/9/2022,5.39
11/10/2022,5.38
11/11/2022,5.38
11/12/2022,5.39
11/13/2022,5.39
11/14/2022,5.4
11/15/2022,5.4
11/16/2022,5.4
11/17/2022,5.4
11/18/2022,5.39
11/19/2022,5.4
11/20/2022,5.4
11/21/2022,5.4
11/22/2022,5.4
11/23/2022,5.4
11/24/2022,5.42
11/25/2022,5.42
11/26/2022,5.43
11/27/2022,5.58
11/28/2022,5.57
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
