datetime,time,ht
11/28/2021,10:15,5.6
11/28/2021,10:30,5.6
11/28/2021,10:45,5.6
11/28/2021,11:00,5.6
11/28/2021,11:15,5.6
11/28/2021,11:30,5.59
11/28/2021,11:45,5.59
11/28/2021,12:00,5.59
11/28/2021,12:15,5.6
11/28/2021,12:30,5.59
11/28/2021,12:45,5.59
11/28/2021,13:00,5.59
11/28/2021,13:15,5.59
11/28/2021,13:30,5.59
11/28/2021,13:45,5.59
11/28/2021,14:00,5.59
11/28/2021,14:15,5.59
11/28/2021,14:30,5.6
11/28/2021,14:45,5.6
11/28/2021,15:00,5.6
11/28/2021,15:15,5.6
11/28/2021,15:30,5.6
11/28/2021,15:45,5.6
11/28/2021,16:00,5.6
11/28/2021,16:15,5.6
11/28/2021,16:30,5.6
11/28/2021,16:45,5.6
11/28/2021,17:00,5.6
11/28/2021,17:15,5.6
11/28/2021,17:30,5.6
11/28/2021,17:45,5.6
11/28/2021,18:00,5.6
11/28/2021,18:15,5.6
11/28/2021,18:30,5.6
11/28/2021,18:45,5.6
11/28/2021,19:00,5.6
11/28/2021,19:15,5.6
11/28/2021,19:30,5.6
11/28/2021,19:45,5.6
11/28/2021,20:00,5.6
11/28/2021,20:15,5.6
11/28/2021,20:30,5.6
11/28/2021,20:45,5.6
11/28/2021,21:00,5.6
11/28/2021,21:15,5.6
11/28/2021,21:30,5.6
11/28/2021,21:45,5.6
11/28/2021,22:00,5.6
11/28/2021,22:15,5.6
11/28/2021,22:30,5.61
11/28/2021,22:45,5.6
11/28/2021,23:00,5.6
11/28/2021,23:15,5.61
11/28/2021,23:30,5.61
11/28/2021,23:45,5.6
11/29/2021,0:00,5.6
11/29/2021,0:15,5.61
11/29/2021,0:30,5.61
11/29/2021,0:45,5.61
11/29/2021,1:00,5.61
11/29/2021,1:15,5.61
11/29/2021,1:30,5.6
11/29/2021,1:45,5.6
11/29/2021,2:00,5.6
11/29/2021,2:15,5.6
11/29/2021,2:30,5.6
11/29/2021,2:45,5.6
11/29/2021,3:00,5.6
11/29/2021,3:15,5.6
11/29/2021,3:30,5.6
11/29/2021,3:45,5.6
11/29/2021,4:00,5.6
11/29/2021,4:15,5.6
11/29/2021,4:30,5.6
11/29/2021,4:45,5.6
11/29/2021,5:00,5.6
11/29/2021,5:15,5.6
11/29/2021,5:30,5.6
11/29/2021,5:45,5.6
11/29/2021,6:00,5.6
11/29/2021,6:15,5.6
11/29/2021,6:30,5.6
11/29/2021,6:45,5.6
11/29/2021,7:00,5.6
11/29/2021,7:15,5.6
11/29/2021,7:30,5.6
11/29/2021,7:45,5.6
11/29/2021,8:00,5.6
11/29/2021,8:15,5.6
11/29/2021,8:30,5.6
11/29/2021,8:45,5.6
11/29/2021,9:00,5.6
11/29/2021,9:15,5.6
11/29/2021,9:30,5.6
11/29/2021,9:45,5.6
11/29/2021,10:00,5.6
11/29/2021,10:15,5.6
11/29/2021,10:30,5.6
11/29/2021,11:15,5.59
11/29/2021,11:30,5.59
11/29/2021,12:00,5.59
11/29/2021,12:15,5.59
11/29/2021,13:15,5.59
11/29/2021,14:00,5.59
11/29/2021,14:15,5.59
11/29/2021,14:30,5.59
11/29/2021,14:45,5.59
11/29/2021,15:00,5.6
11/29/2021,15:15,5.6
11/29/2021,15:30,5.6
11/29/2021,15:45,5.6
11/29/2021,16:00,5.6
11/29/2021,16:15,5.6
11/29/2021,16:30,5.6
11/29/2021,16:45,5.6
11/29/2021,17:00,5.6
11/29/2021,17:15,5.6
11/29/2021,17:30,5.6
11/29/2021,17:45,5.6
11/29/2021,18:00,5.61
11/29/2021,18:15,5.61
11/29/2021,18:30,5.6
11/29/2021,18:45,5.6
11/29/2021,19:00,5.6
11/29/2021,19:15,5.6
11/29/2021,19:30,5.6
11/29/2021,19:45,5.6
11/29/2021,20:00,5.6
11/29/2021,20:15,5.61
11/29/2021,20:30,5.6
11/29/2021,20:45,5.6
11/29/2021,21:00,5.61
11/29/2021,21:15,5.61
11/29/2021,21:30,5.61
11/29/2021,21:45,5.61
11/29/2021,22:00,5.61
11/29/2021,22:15,5.61
11/29/2021,22:30,5.61
11/29/2021,22:45,5.61
11/29/2021,23:00,5.61
11/29/2021,23:15,5.6
11/29/2021,23:30,5.61
11/29/2021,23:45,5.61
11/30/2021,0:00,5.61
11/30/2021,0:15,5.61
11/30/2021,0:30,5.61
11/30/2021,0:45,5.6
11/30/2021,1:00,5.6
11/30/2021,1:15,5.61
11/30/2021,1:30,5.6
11/30/2021,1:45,5.6
11/30/2021,2:00,5.6
11/30/2021,2:15,5.6
11/30/2021,2:30,5.6
11/30/2021,2:45,5.6
11/30/2021,3:00,5.59
11/30/2021,3:15,5.6
11/30/2021,3:30,5.6
11/30/2021,3:45,5.6
11/30/2021,4:00,5.6
11/30/2021,4:15,5.6
11/30/2021,4:30,5.6
11/30/2021,4:45,5.6
11/30/2021,5:00,5.6
11/30/2021,5:15,5.6
11/30/2021,5:30,5.6
11/30/2021,5:45,5.6
11/30/2021,6:00,5.6
11/30/2021,6:15,5.6
11/30/2021,6:30,5.6
11/30/2021,6:45,5.6
11/30/2021,7:00,5.6
11/30/2021,7:15,5.6
11/30/2021,7:30,5.6
11/30/2021,7:45,5.6
11/30/2021,8:00,5.6
11/30/2021,8:15,5.6
11/30/2021,8:30,5.6
11/30/2021,8:45,5.6
11/30/2021,9:00,5.6
11/30/2021,9:15,5.6
11/30/2021,9:30,5.6
11/30/2021,9:45,5.6
11/30/2021,10:00,5.6
11/30/2021,10:15,5.59
11/30/2021,10:30,5.59
11/30/2021,10:45,5.6
11/30/2021,11:00,5.59
11/30/2021,11:15,5.59
11/30/2021,11:30,5.59
11/30/2021,11:45,5.59
11/30/2021,12:00,5.59
11/30/2021,12:15,5.59
11/30/2021,12:30,5.6
11/30/2021,12:45,5.6
11/30/2021,13:00,5.6
11/30/2021,13:15,5.59
11/30/2021,13:30,5.59
11/30/2021,13:45,5.6
11/30/2021,14:00,5.6
11/30/2021,14:15,5.6
11/30/2021,14:30,5.6
11/30/2021,14:45,5.6
11/30/2021,15:00,5.6
11/30/2021,15:15,5.6
11/30/2021,15:30,5.6
11/30/2021,15:45,5.6
11/30/2021,16:00,5.6
11/30/2021,16:15,5.6
11/30/2021,16:30,5.6
11/30/2021,16:45,5.6
11/30/2021,17:00,5.6
11/30/2021,17:15,5.6
11/30/2021,17:30,5.6
11/30/2021,17:45,5.6
11/30/2021,18:00,5.6
11/30/2021,18:15,5.6
11/30/2021,18:30,5.6
11/30/2021,18:45,5.6
11/30/2021,19:00,5.6
11/30/2021,19:15,5.6
11/30/2021,19:30,5.6
11/30/2021,19:45,5.61
11/30/2021,20:00,5.6
11/30/2021,20:15,5.6
11/30/2021,20:30,5.61
11/30/2021,20:45,5.61
11/30/2021,21:00,5.61
11/30/2021,21:15,5.61
11/30/2021,21:30,5.61
11/30/2021,21:45,5.61
11/30/2021,22:00,5.61
11/30/2021,22:15,5.6
11/30/2021,22:30,5.61
11/30/2021,22:45,5.61
11/30/2021,23:00,5.61
11/30/2021,23:15,5.61
11/30/2021,23:30,5.61
11/30/2021,23:45,5.61
12/1/2021,0:00,5.61
12/1/2021,0:15,5.6
12/1/2021,0:30,5.61
12/1/2021,0:45,5.61
12/1/2021,1:00,5.6
12/1/2021,1:15,5.6
12/1/2021,1:30,5.6
12/1/2021,1:45,5.6
12/1/2021,2:00,5.6
12/1/2021,2:15,5.6
12/1/2021,2:30,5.6
12/1/2021,2:45,5.59
12/1/2021,3:00,5.6
12/1/2021,3:15,5.6
12/1/2021,3:30,5.6
12/1/2021,3:45,5.6
12/1/2021,4:00,5.6
12/1/2021,4:15,5.6
12/1/2021,4:30,5.6
12/1/2021,4:45,5.6
12/1/2021,5:00,5.6
12/1/2021,5:15,5.6
12/1/2021,5:30,5.6
12/1/2021,5:45,5.6
12/1/2021,6:00,5.6
12/1/2021,6:15,5.6
12/1/2021,6:30,5.6
