datetime,tz_cd,ht
7/31/2022,0:00,25.16
7/31/2022,1:00,25.16
7/31/2022,2:00,25.15
7/31/2022,3:00,25.15
7/31/2022,4:00,25.14
7/31/2022,5:00,25.13
7/31/2022,6:00,25.11
7/31/2022,7:00,25.09
7/31/2022,8:00,25.07
7/31/2022,9:00,25.05
7/31/2022,10:00,25.03
7/31/2022,11:00,25.02
7/31/2022,12:00,25.02
7/31/2022,13:00,25
7/31/2022,14:00,25
7/31/2022,15:00,24.98
7/31/2022,16:00,25
7/31/2022,17:00,24.97
7/31/2022,18:00,24.96
7/31/2022,19:00,24.9
7/31/2022,20:00,24.89
7/31/2022,21:00,24.87
7/31/2022,22:00,24.85
7/31/2022,23:00,24.81
8/1/2022,0:00,24.82
8/1/2022,1:00,24.81
8/1/2022,2:00,24.8
8/1/2022,3:00,24.79
8/1/2022,4:00,24.8
8/1/2022,5:00,24.83
8/1/2022,6:00,24.84
8/1/2022,7:00,24.85
8/1/2022,8:00,24.43
8/1/2022,9:00,24.87
8/1/2022,10:00,24.88
8/1/2022,11:00,24.91
8/1/2022,12:00,24.95
8/1/2022,13:00,24.97
8/1/2022,14:00,24.98
8/1/2022,15:00,24.98
8/1/2022,16:00,25
8/1/2022,17:00,25
8/1/2022,18:00,25
8/1/2022,19:00,25
8/1/2022,20:00,25.01
8/1/2022,21:00,25.01
8/1/2022,22:00,25.02
8/1/2022,23:00,25.03
8/2/2022,0:00,25.03
8/2/2022,1:00,25.04
8/2/2022,2:00,25.05
8/2/2022,3:00,25.05
8/2/2022,4:00,25.06
8/2/2022,5:00,25.07
8/2/2022,6:00,25.07
8/2/2022,7:00,25.06
8/2/2022,8:00,25.08
8/2/2022,9:00,25.08
8/2/2022,10:00,25.05
8/2/2022,11:00,25.03
8/2/2022,12:00,25.01
8/2/2022,13:00,25.05
8/2/2022,14:00,25.02
8/2/2022,15:00,25.02
8/2/2022,16:00,24.97
8/2/2022,17:00,24.94
8/2/2022,18:00,24.9
8/2/2022,19:00,24.89
8/2/2022,20:00,24.87
8/2/2022,21:00,24.87
8/2/2022,22:00,24.84
8/2/2022,23:00,24.83
8/3/2022,0:00,24.8
8/3/2022,1:00,24.79
8/3/2022,2:00,24.76
8/3/2022,3:00,24.75
8/3/2022,4:00,24.75
8/3/2022,5:00,24.77
8/3/2022,6:00,24.79
8/3/2022,7:00,24.79
8/3/2022,8:00,24.81
8/3/2022,9:00,24.82
8/3/2022,10:00,24.82
8/3/2022,11:00,24.84
8/3/2022,12:00,24.88
8/3/2022,13:00,24.89
8/3/2022,14:00,24.89
8/3/2022,15:00,24.88
8/3/2022,16:00,24.9
8/3/2022,17:00,24.87
8/3/2022,18:00,24.88
8/3/2022,19:00,24.86
8/3/2022,20:00,24.87
8/3/2022,21:00,24.88
8/3/2022,22:00,24.89
8/3/2022,23:00,24.9
8/4/2022,0:00,24.89
8/4/2022,1:00,24.89
8/4/2022,2:00,24.89
8/4/2022,3:00,24.91
8/4/2022,4:00,24.9
8/4/2022,5:00,24.92
8/4/2022,6:00,24.92
8/4/2022,7:00,24.92
8/4/2022,8:00,24.92
8/4/2022,9:00,24.92
8/4/2022,10:00,24.91
8/4/2022,11:00,24.91
8/4/2022,12:00,24.95
8/4/2022,13:00,24.95
8/4/2022,14:00,24.95
8/4/2022,15:00,24.95
8/4/2022,16:00,24.93
8/4/2022,17:00,24.9
8/4/2022,18:00,24.9
8/4/2022,19:00,24.88
8/4/2022,20:00,24.86
8/4/2022,21:00,24.87
8/4/2022,22:00,24.85
8/4/2022,23:00,24.85
8/5/2022,0:00,24.85
8/5/2022,1:00,24.83
8/5/2022,2:00,24.82
8/5/2022,3:00,24.82
8/5/2022,4:00,24.81
8/5/2022,5:00,24.8
8/5/2022,6:00,24.79
8/5/2022,7:00,24.78
8/5/2022,8:00,24.77
8/5/2022,9:00,24.75
8/5/2022,10:00,24.74
8/5/2022,11:00,24.75
8/5/2022,12:00,24.75
8/5/2022,13:00,24.79
8/5/2022,14:00,24.78
8/5/2022,15:00,24.76
8/5/2022,16:00,24.74
8/5/2022,17:00,24.75
8/5/2022,18:00,24.7
8/5/2022,19:00,24.71
8/5/2022,20:00,24.72
8/5/2022,21:00,24.74
8/5/2022,22:00,24.74
8/5/2022,23:00,24.72
8/6/2022,0:00,24.73
8/6/2022,1:00,24.73
8/6/2022,2:00,24.73
8/6/2022,3:00,24.74
8/6/2022,4:00,24.73
8/6/2022,5:00,24.73
8/6/2022,6:00,24.73
8/6/2022,7:00,24.73
8/6/2022,8:00,24.77
8/6/2022,9:00,24.73
8/6/2022,10:00,24.71
8/6/2022,11:00,24.74
8/6/2022,12:00,24.76
8/6/2022,13:00,24.77
8/6/2022,14:00,24.76
8/6/2022,15:00,24.77
8/6/2022,16:00,24.75
8/6/2022,17:00,24.75
8/6/2022,18:00,24.77
8/6/2022,19:00,24.8
8/6/2022,20:00,24.75
8/6/2022,21:00,24.79
8/6/2022,22:00,24.79
8/6/2022,23:00,24.81
8/7/2022,0:00,24.77
8/7/2022,1:00,24.8
8/7/2022,2:00,24.8
8/7/2022,3:00,24.81
8/7/2022,4:00,24.84
8/7/2022,5:00,24.81
8/7/2022,6:00,24.8
8/7/2022,7:00,24.8
8/7/2022,8:00,24.8
8/7/2022,9:00,24.8
8/7/2022,10:00,24.8
8/7/2022,11:00,24.83
8/7/2022,12:00,24.85
8/7/2022,13:00,24.86
8/7/2022,14:00,24.87
8/7/2022,15:00,24.86
8/7/2022,16:00,24.87
8/7/2022,17:00,24.87
8/7/2022,18:00,24.86
8/7/2022,19:00,24.85
8/7/2022,20:00,24.9
8/7/2022,21:00,24.95
8/7/2022,22:00,24.95
8/7/2022,23:00,24.95
8/8/2022,0:00,24.95
8/8/2022,1:00,24.94
8/8/2022,2:00,24.94
8/8/2022,3:00,24.94
8/8/2022,4:00,24.94
8/8/2022,5:00,24.93
8/8/2022,6:00,24.93
8/8/2022,7:00,24.93
8/8/2022,8:00,24.93
8/8/2022,9:00,24.92
8/8/2022,10:00,24.91
8/8/2022,11:00,24.92
8/8/2022,12:00,24.96
8/8/2022,13:00,24.93
8/8/2022,14:00,24.92
8/8/2022,15:00,24.91
8/8/2022,16:00,24.91
8/8/2022,17:00,24.91
8/8/2022,18:00,24.89
8/8/2022,19:00,24.87
8/8/2022,20:00,24.86
8/8/2022,21:00,24.87
8/8/2022,22:00,24.88
8/8/2022,23:00,24.88
8/9/2022,0:00,24.86
8/9/2022,1:00,24.86
8/9/2022,2:00,24.86
8/9/2022,3:00,24.86
8/9/2022,4:00,24.87
8/9/2022,5:00,24.86
8/9/2022,6:00,24.86
8/9/2022,7:00,24.85
8/9/2022,8:00,24.85
8/9/2022,9:00,24.85
8/9/2022,10:00,24.84
8/9/2022,11:00,24.87
8/9/2022,12:00,24.89
8/9/2022,13:00,24.88
8/9/2022,14:00,24.85
8/9/2022,15:00,24.86
8/9/2022,16:00,24.86
8/9/2022,17:00,24.81
8/9/2022,18:00,24.83
8/9/2022,19:00,24.77
8/9/2022,20:00,24.72
8/9/2022,21:00,24.74
8/9/2022,22:00,24.72
8/9/2022,23:00,24.72
8/10/2022,0:00,24.72
8/10/2022,1:00,24.71
8/10/2022,2:00,24.69
8/10/2022,3:00,24.68
8/10/2022,4:00,24.67
8/10/2022,5:00,24.66
8/10/2022,6:00,24.65
8/10/2022,7:00,24.64
8/10/2022,8:00,24.63
8/10/2022,9:00,24.64
8/10/2022,10:00,24.62
8/10/2022,11:00,24.65
8/10/2022,12:00,24.67
