datetime,time,ht
11/28/2021,10:30,7.59
11/28/2021,11:00,7.57
11/28/2021,11:30,7.58
11/28/2021,12:00,7.58
11/28/2021,12:30,7.58
11/28/2021,13:30,7.59
11/28/2021,14:00,7.59
11/28/2021,15:00,7.57
11/28/2021,15:30,7.59
11/28/2021,16:00,7.59
11/28/2021,16:30,7.59
11/28/2021,17:00,7.58
11/28/2021,17:30,7.58
11/28/2021,18:00,7.58
11/28/2021,18:30,7.59
11/28/2021,19:00,7.59
11/28/2021,19:30,7.57
11/28/2021,20:00,7.58
11/28/2021,20:30,7.57
11/28/2021,21:00,7.58
11/28/2021,21:30,7.57
11/28/2021,22:00,7.57
11/28/2021,22:30,7.57
11/28/2021,23:00,7.57
11/28/2021,23:30,7.56
11/29/2021,0:00,7.56
11/29/2021,0:30,7.57
11/29/2021,1:00,7.57
11/29/2021,1:30,7.57
11/29/2021,2:00,7.57
11/29/2021,2:30,7.56
11/29/2021,3:00,7.56
11/29/2021,3:30,7.56
11/29/2021,4:00,7.56
11/29/2021,4:30,7.57
11/29/2021,5:00,7.56
11/29/2021,5:30,7.56
11/29/2021,6:00,7.57
11/29/2021,6:30,7.56
11/29/2021,7:00,7.56
11/29/2021,7:30,7.56
11/29/2021,8:00,7.56
11/29/2021,8:30,7.56
11/29/2021,9:00,7.56
11/29/2021,9:30,7.57
11/29/2021,11:00,7.56
11/29/2021,11:30,7.58
11/29/2021,12:00,7.57
11/29/2021,12:30,7.57
11/29/2021,13:00,7.56
11/29/2021,14:30,7.57
11/29/2021,15:00,7.59
11/29/2021,15:30,7.59
11/29/2021,16:00,7.59
11/29/2021,16:30,7.58
11/29/2021,17:00,7.58
11/29/2021,17:30,7.58
11/29/2021,18:00,7.58
11/29/2021,18:30,7.57
11/29/2021,19:00,7.56
11/29/2021,19:30,7.56
11/29/2021,20:00,7.56
11/29/2021,20:30,7.56
11/29/2021,21:00,7.56
11/29/2021,21:30,7.56
11/29/2021,22:00,7.57
11/29/2021,22:30,7.57
11/29/2021,23:00,7.56
11/29/2021,23:30,7.56
11/30/2021,0:00,7.56
11/30/2021,0:30,7.56
11/30/2021,1:00,7.55
11/30/2021,1:30,7.55
11/30/2021,2:00,7.56
11/30/2021,2:30,7.55
11/30/2021,3:00,7.55
11/30/2021,3:30,7.55
11/30/2021,4:00,7.55
11/30/2021,4:30,7.54
11/30/2021,5:00,7.55
11/30/2021,5:30,7.55
11/30/2021,6:00,7.54
11/30/2021,6:30,7.55
11/30/2021,7:00,7.54
11/30/2021,7:30,7.54
11/30/2021,8:00,7.54
11/30/2021,8:30,7.55
11/30/2021,9:00,7.55
11/30/2021,9:30,7.54
11/30/2021,10:30,7.55
11/30/2021,11:30,7.54
11/30/2021,12:00,7.54
11/30/2021,17:00,7.55
11/30/2021,21:00,7.55
11/30/2021,21:30,7.54
11/30/2021,22:00,7.54
11/30/2021,22:30,7.55
11/30/2021,23:00,7.55
11/30/2021,23:30,7.55
12/1/2021,0:00,7.55
12/1/2021,0:30,7.55
12/1/2021,1:00,7.56
12/1/2021,1:30,7.55
12/1/2021,2:00,7.55
12/1/2021,2:30,7.56
12/1/2021,3:00,7.56
12/1/2021,3:30,7.56
12/1/2021,4:00,7.56
12/1/2021,4:30,7.56
12/1/2021,5:00,7.56
12/1/2021,5:30,7.56
12/1/2021,6:00,7.57
12/1/2021,6:30,7.56
12/1/2021,7:00,7.55
12/1/2021,7:30,7.55
12/1/2021,8:00,7.55
12/1/2021,8:30,7.54
12/1/2021,9:00,7.55
