datetime,time,ht
11/28/2021,10:30,5.72
11/28/2021,11:00,5.72
11/28/2021,12:30,5.7
11/28/2021,13:00,5.7
11/28/2021,13:30,5.72
11/28/2021,14:00,5.72
11/28/2021,14:30,5.72
11/28/2021,15:00,5.72
11/28/2021,15:30,5.72
11/28/2021,16:00,5.72
11/28/2021,16:30,5.72
11/28/2021,17:00,5.72
11/28/2021,17:30,5.73
11/28/2021,18:00,5.73
11/28/2021,18:30,5.73
11/28/2021,19:00,5.73
11/28/2021,19:30,5.73
11/28/2021,20:00,5.73
11/28/2021,20:30,5.73
11/28/2021,21:00,5.73
11/28/2021,21:30,5.73
11/28/2021,22:00,5.73
11/28/2021,22:30,5.73
11/28/2021,23:00,5.73
11/28/2021,23:30,5.73
11/29/2021,0:00,5.73
11/29/2021,0:30,5.73
11/29/2021,1:00,5.73
11/29/2021,1:30,5.73
11/29/2021,2:00,5.73
11/29/2021,2:30,5.73
11/29/2021,3:00,5.73
11/29/2021,3:30,5.73
11/29/2021,4:00,5.73
11/29/2021,4:30,5.73
11/29/2021,5:00,5.73
11/29/2021,5:30,5.73
11/29/2021,6:00,5.73
11/29/2021,6:30,5.73
11/29/2021,7:00,5.73
11/29/2021,7:30,5.73
11/29/2021,8:00,5.73
11/29/2021,8:30,5.73
11/29/2021,9:00,5.73
11/29/2021,9:30,5.72
11/29/2021,10:00,5.73
11/29/2021,10:30,5.72
11/29/2021,11:00,5.72
11/29/2021,11:30,5.71
11/29/2021,12:00,5.72
11/29/2021,12:30,5.72
11/29/2021,13:00,5.71
11/29/2021,13:30,5.71
11/29/2021,14:00,5.71
11/29/2021,14:30,5.72
11/29/2021,15:00,5.71
11/29/2021,15:30,5.7
11/29/2021,16:00,5.71
11/29/2021,16:30,5.71
11/29/2021,17:00,5.73
11/29/2021,17:30,5.73
11/29/2021,18:00,5.74
11/29/2021,18:30,5.73
11/29/2021,19:00,5.74
11/29/2021,19:30,5.74
11/29/2021,20:00,5.74
11/29/2021,20:30,5.74
11/29/2021,21:00,5.74
11/29/2021,21:30,5.74
11/29/2021,22:00,5.74
11/29/2021,22:30,5.74
11/29/2021,23:00,5.74
11/29/2021,23:30,5.73
11/30/2021,0:00,5.74
11/30/2021,0:30,5.73
11/30/2021,1:00,5.74
11/30/2021,1:30,5.74
11/30/2021,2:00,5.73
11/30/2021,2:30,5.73
11/30/2021,3:00,5.73
11/30/2021,3:30,5.73
11/30/2021,4:00,5.73
11/30/2021,4:30,5.73
