datetime,time,ht
11/28/2021,10:30,10.41
11/28/2021,11:00,10.4
11/28/2021,11:30,10.39
11/28/2021,12:00,10.4
11/28/2021,12:30,10.4
11/28/2021,13:00,10.38
11/28/2021,13:30,10.39
11/28/2021,14:00,10.38
11/28/2021,14:30,10.39
11/28/2021,15:00,10.38
11/28/2021,15:30,10.39
11/28/2021,16:00,10.39
11/28/2021,16:30,10.39
11/28/2021,17:00,10.38
11/28/2021,17:30,10.39
11/28/2021,18:00,10.39
11/28/2021,18:30,10.39
11/28/2021,19:00,10.39
11/28/2021,19:30,10.38
11/28/2021,20:00,10.39
11/28/2021,20:30,10.39
11/28/2021,21:00,10.39
11/28/2021,21:30,10.39
11/28/2021,22:00,10.39
11/28/2021,22:30,10.39
11/28/2021,23:00,10.38
11/28/2021,23:30,10.39
11/29/2021,0:00,10.38
11/29/2021,0:30,10.38
11/29/2021,1:00,10.38
11/29/2021,1:30,10.38
11/29/2021,2:00,10.38
11/29/2021,2:30,10.38
11/29/2021,3:00,10.38
11/29/2021,3:30,10.38
11/29/2021,4:00,10.38
11/29/2021,4:30,10.38
11/29/2021,5:00,10.39
11/29/2021,5:30,10.38
11/29/2021,6:00,10.38
11/29/2021,6:30,10.38
11/29/2021,7:00,10.38
11/29/2021,7:30,10.39
11/29/2021,8:00,10.38
11/29/2021,8:30,10.38
11/29/2021,9:00,10.37
11/29/2021,9:30,10.37
11/29/2021,10:00,10.34
11/29/2021,10:30,10.35
11/29/2021,11:00,10.37
11/29/2021,11:30,10.35
11/29/2021,12:00,10.38
11/29/2021,12:30,10.38
11/29/2021,13:00,10.38
11/29/2021,13:30,10.37
11/29/2021,14:00,10.37
11/29/2021,14:30,10.38
11/29/2021,15:00,10.36
11/29/2021,15:30,10.38
11/29/2021,16:00,10.37
11/29/2021,16:30,10.37
11/29/2021,17:00,10.37
11/29/2021,17:30,10.37
11/29/2021,18:00,10.37
11/29/2021,18:30,10.37
11/29/2021,19:00,10.36
11/29/2021,19:30,10.37
11/29/2021,20:00,10.37
11/29/2021,20:30,10.37
11/29/2021,21:00,10.37
11/29/2021,21:30,10.37
11/29/2021,22:00,10.37
11/29/2021,22:30,10.37
11/29/2021,23:00,10.36
11/29/2021,23:30,10.36
11/30/2021,0:00,10.36
11/30/2021,0:30,10.36
11/30/2021,1:00,10.36
11/30/2021,1:30,10.36
11/30/2021,2:00,10.37
11/30/2021,2:30,10.37
11/30/2021,3:00,10.36
11/30/2021,3:30,10.36
11/30/2021,4:00,10.36
11/30/2021,4:30,10.36
11/30/2021,5:00,10.37
11/30/2021,5:30,10.37
11/30/2021,6:00,10.37
11/30/2021,6:30,10.36
11/30/2021,7:00,10.36
11/30/2021,7:30,10.36
11/30/2021,8:00,10.36
11/30/2021,8:30,10.36
11/30/2021,9:00,10.36
11/30/2021,9:30,10.36
11/30/2021,10:00,10.35
11/30/2021,10:30,10.35
11/30/2021,11:00,10.35
11/30/2021,11:30,10.35
11/30/2021,12:00,10.36
11/30/2021,12:30,10.35
11/30/2021,13:00,10.35
11/30/2021,13:30,10.35
11/30/2021,14:00,10.36
11/30/2021,14:30,10.35
11/30/2021,15:00,10.35
11/30/2021,15:30,10.35
11/30/2021,16:00,10.34
11/30/2021,16:30,10.35
11/30/2021,17:00,10.34
11/30/2021,17:30,10.35
11/30/2021,18:00,10.34
11/30/2021,18:30,10.34
11/30/2021,19:00,10.34
11/30/2021,19:30,10.34
11/30/2021,20:00,10.35
11/30/2021,20:30,10.34
11/30/2021,21:00,10.34
11/30/2021,21:30,10.34
11/30/2021,22:00,10.34
11/30/2021,22:30,10.35
11/30/2021,23:00,10.34
11/30/2021,23:30,10.34
12/1/2021,0:00,10.34
12/1/2021,0:30,10.34
12/1/2021,1:00,10.34
12/1/2021,1:30,10.34
12/1/2021,2:00,10.34
12/1/2021,2:30,10.35
12/1/2021,3:00,10.34
12/1/2021,3:30,10.34
12/1/2021,4:00,10.34
12/1/2021,4:30,10.34
12/1/2021,5:00,10.34
