datetime,time,ht
7/31/2022,0:00,13.85
7/31/2022,1:00,13.85
7/31/2022,2:00,13.91
7/31/2022,3:00,13.85
7/31/2022,4:00,13.9
7/31/2022,5:00,13.92
7/31/2022,6:00,13.92
7/31/2022,7:00,13.85
7/31/2022,8:00,13.84
7/31/2022,9:00,13.91
7/31/2022,10:00,13.88
7/31/2022,11:00,13.84
7/31/2022,12:00,13.75
7/31/2022,13:00,13.83
7/31/2022,14:00,13.76
7/31/2022,15:00,13.76
7/31/2022,16:00,13.76
7/31/2022,17:00,13.89
7/31/2022,18:00,13.8
7/31/2022,19:00,13.79
7/31/2022,20:00,13.89
7/31/2022,21:00,13.86
7/31/2022,22:00,13.82
7/31/2022,23:00,13.87
8/1/2022,0:00,13.88
8/1/2022,1:00,13.89
8/1/2022,2:00,13.93
8/1/2022,3:00,13.94
8/1/2022,4:00,13.84
8/1/2022,5:00,13.94
8/1/2022,6:00,13.85
8/1/2022,7:00,13.9
8/1/2022,8:00,13.89
8/1/2022,9:00,13.9
8/1/2022,10:00,13.81
8/1/2022,11:00,13.9
8/1/2022,12:00,13.86
8/1/2022,13:00,13.87
8/1/2022,14:00,13.84
8/1/2022,15:00,13.97
8/1/2022,16:00,13.86
8/1/2022,17:00,13.87
8/1/2022,18:00,13.98
8/1/2022,19:00,13.93
8/1/2022,20:00,14
8/1/2022,21:00,14
8/1/2022,22:00,13.98
8/1/2022,23:00,14.02
8/2/2022,0:00,14.01
8/2/2022,1:00,14.01
8/2/2022,2:00,14.07
8/2/2022,3:00,14.07
8/2/2022,4:00,14.08
8/2/2022,5:00,13.97
8/2/2022,6:00,14.09
8/2/2022,7:00,14.08
8/2/2022,8:00,14.07
8/2/2022,9:00,14.09
8/2/2022,10:00,13.98
8/2/2022,11:00,13.97
8/2/2022,12:00,13.98
8/2/2022,13:00,14
8/2/2022,14:00,14.04
8/2/2022,15:00,13.96
8/2/2022,16:00,14.04
8/2/2022,17:00,14.07
8/2/2022,18:00,14.12
8/2/2022,19:00,14.13
8/2/2022,20:00,14.06
8/2/2022,21:00,14.06
8/2/2022,22:00,14.12
8/2/2022,23:00,14.11
8/3/2022,0:00,14.12
8/3/2022,1:00,14.08
8/3/2022,2:00,14.09
8/3/2022,3:00,14.16
8/3/2022,4:00,14.17
8/3/2022,5:00,14.15
8/3/2022,6:00,14.18
8/3/2022,7:00,14.17
8/3/2022,8:00,14.18
8/3/2022,9:00,14.06
8/3/2022,10:00,14.13
8/3/2022,11:00,14.06
8/3/2022,12:00,14
8/3/2022,13:00,14.03
8/3/2022,14:00,13.97
8/3/2022,15:00,13.99
8/3/2022,16:00,14.01
8/3/2022,17:00,13.96
8/3/2022,18:00,13.94
8/3/2022,19:00,14.06
8/3/2022,20:00,14.11
8/3/2022,21:00,14.11
8/3/2022,22:00,14.1
8/3/2022,23:00,14.02
8/4/2022,0:00,13.98
8/4/2022,1:00,14
8/4/2022,2:00,13.95
8/4/2022,3:00,13.97
8/4/2022,4:00,14.01
8/4/2022,5:00,14.01
8/4/2022,6:00,14
8/4/2022,7:00,14
8/4/2022,8:00,13.98
8/4/2022,9:00,13.89
8/4/2022,10:00,13.9
8/4/2022,11:00,13.84
8/4/2022,12:00,13.85
8/4/2022,13:00,13.89
8/4/2022,14:00,13.88
8/4/2022,15:00,13.89
8/4/2022,16:00,13.89
8/4/2022,17:00,13.89
8/4/2022,18:00,13.89
8/4/2022,19:00,13.79
8/4/2022,20:00,13.85
8/4/2022,21:00,13.81
8/4/2022,22:00,13.83
8/4/2022,23:00,13.84
8/5/2022,0:00,13.87
8/5/2022,1:00,13.82
8/5/2022,2:00,13.86
8/5/2022,3:00,13.84
8/5/2022,4:00,13.87
8/5/2022,5:00,13.83
8/5/2022,6:00,13.86
8/5/2022,7:00,13.8
8/5/2022,8:00,13.79
8/5/2022,9:00,13.79
8/5/2022,10:00,13.84
8/5/2022,11:00,13.84
8/5/2022,12:00,13.76
8/5/2022,13:00,13.76
8/5/2022,14:00,13.7
8/5/2022,15:00,13.71
8/5/2022,16:00,13.79
8/5/2022,17:00,13.81
8/5/2022,18:00,13.84
8/5/2022,19:00,13.84
8/5/2022,20:00,13.8
8/5/2022,21:00,13.8
8/5/2022,22:00,13.85
8/5/2022,23:00,13.8
8/6/2022,0:00,13.83
8/6/2022,1:00,13.93
8/6/2022,2:00,13.84
8/6/2022,3:00,13.88
8/6/2022,4:00,13.94
8/6/2022,5:00,13.91
8/6/2022,6:00,13.96
8/6/2022,7:00,13.95
8/6/2022,8:00,13.95
8/6/2022,9:00,13.91
8/6/2022,10:00,13.98
8/6/2022,11:00,13.99
8/6/2022,12:00,13.97
8/6/2022,13:00,13.96
8/6/2022,14:00,13.95
8/6/2022,15:00,13.95
8/6/2022,16:00,13.95
8/6/2022,17:00,13.95
8/6/2022,18:00,13.98
8/6/2022,19:00,14.02
8/6/2022,20:00,14.02
8/6/2022,21:00,14.05
8/6/2022,22:00,14.03
8/6/2022,23:00,14.03
8/7/2022,0:00,14.01
8/7/2022,1:00,14.03
8/7/2022,2:00,14.07
8/7/2022,3:00,14.08
8/7/2022,4:00,14.08
8/7/2022,5:00,14.09
8/7/2022,6:00,14.08
8/7/2022,7:00,14.1
8/7/2022,8:00,14.03
8/7/2022,9:00,14.1
8/7/2022,10:00,14.13
8/7/2022,11:00,14.13
8/7/2022,12:00,14.13
8/7/2022,13:00,14.15
8/7/2022,14:00,14.15
8/7/2022,15:00,14.08
8/7/2022,16:00,14.11
8/7/2022,17:00,14.11
8/7/2022,18:00,14.07
8/7/2022,19:00,14.15
8/7/2022,20:00,14.12
8/7/2022,21:00,14.05
8/7/2022,22:00,14.09
8/7/2022,23:00,14.05
8/8/2022,0:00,14.12
8/8/2022,1:00,14.11
8/8/2022,2:00,14.09
8/8/2022,3:00,14.06
8/8/2022,4:00,14.05
8/8/2022,5:00,14.05
8/8/2022,6:00,13.94
8/8/2022,7:00,13.96
8/8/2022,8:00,13.92
8/8/2022,9:00,14
8/8/2022,10:00,13.92
8/8/2022,11:00,13.95
8/8/2022,12:00,13.94
8/8/2022,13:00,13.93
8/8/2022,14:00,13.92
8/8/2022,15:00,13.81
8/8/2022,16:00,13.88
8/8/2022,17:00,13.8
8/8/2022,18:00,13.82
