datetime,time,ht
11/28/2021,10:15,2.16
11/28/2021,10:30,2.16
11/28/2021,10:45,2.16
11/28/2021,11:00,2.16
11/28/2021,11:15,2.17
11/28/2021,11:30,2.17
11/28/2021,11:45,2.16
11/28/2021,12:00,2.16
11/28/2021,12:15,2.16
11/28/2021,12:30,2.15
11/28/2021,12:45,2.16
11/28/2021,13:00,2.16
11/28/2021,13:15,2.16
11/28/2021,13:30,2.16
11/28/2021,13:45,2.16
11/28/2021,14:00,2.15
11/28/2021,14:15,2.15
11/28/2021,14:30,2.15
11/28/2021,14:45,2.15
11/28/2021,15:00,2.15
11/28/2021,15:15,2.15
11/28/2021,15:30,2.15
11/28/2021,15:45,2.15
11/28/2021,16:00,2.15
11/28/2021,16:15,2.15
11/28/2021,16:30,2.15
11/28/2021,16:45,2.15
11/28/2021,17:00,2.15
11/28/2021,17:15,2.15
11/28/2021,17:30,2.15
11/28/2021,17:45,2.15
11/28/2021,18:00,2.16
11/28/2021,18:15,2.15
11/28/2021,18:30,2.15
11/28/2021,18:45,2.15
11/28/2021,19:00,2.15
11/28/2021,19:15,2.15
11/28/2021,19:30,2.14
11/28/2021,19:45,2.14
11/28/2021,20:00,2.14
11/28/2021,20:15,2.14
11/28/2021,20:30,2.15
11/28/2021,20:45,2.14
11/28/2021,21:00,2.15
11/28/2021,21:15,2.15
11/28/2021,21:30,2.15
11/28/2021,21:45,2.15
11/28/2021,22:00,2.15
11/28/2021,22:15,2.14
11/28/2021,22:30,2.15
11/28/2021,22:45,2.15
11/28/2021,23:00,2.15
11/28/2021,23:15,2.15
11/28/2021,23:30,2.14
11/28/2021,23:45,2.15
11/29/2021,0:00,2.15
11/29/2021,0:15,2.15
11/29/2021,0:30,2.15
11/29/2021,0:45,2.16
11/29/2021,1:00,2.15
11/29/2021,1:15,2.15
11/29/2021,1:30,2.15
11/29/2021,1:45,2.15
11/29/2021,2:00,2.15
11/29/2021,2:15,2.15
11/29/2021,2:30,2.15
11/29/2021,2:45,2.15
11/29/2021,3:00,2.16
11/29/2021,3:15,2.15
11/29/2021,3:30,2.16
11/29/2021,3:45,2.15
11/29/2021,4:00,2.15
11/29/2021,4:15,2.15
11/29/2021,4:30,2.15
11/29/2021,4:45,2.15
11/29/2021,5:00,2.15
11/29/2021,5:15,2.15
11/29/2021,5:30,2.15
11/29/2021,5:45,2.15
11/29/2021,6:00,2.15
11/29/2021,6:15,2.15
11/29/2021,6:30,2.15
11/29/2021,6:45,2.15
11/29/2021,7:00,2.16
11/29/2021,7:15,2.16
11/29/2021,7:30,2.16
11/29/2021,7:45,2.16
11/29/2021,8:00,2.16
11/29/2021,8:15,2.16
11/29/2021,8:30,2.17
11/29/2021,8:45,2.17
11/29/2021,9:00,2.17
11/29/2021,9:15,2.16
11/29/2021,9:30,2.16
11/29/2021,9:45,2.17
11/29/2021,10:00,2.17
11/29/2021,10:15,2.17
11/29/2021,10:30,2.17
11/29/2021,10:45,2.17
11/29/2021,11:00,2.17
11/29/2021,11:15,2.16
